num_stim,match,zero_back_outer_loop.thisRepN,zero_back_outer_loop.thisTrialN,zero_back_outer_loop.thisN,zero_back_outer_loop.thisIndex,zero_back_loop.thisRepN,zero_back_loop.thisTrialN,zero_back_loop.thisN,zero_back_loop.thisIndex,one_back_outer_loop.thisRepN,one_back_outer_loop.thisTrialN,one_back_outer_loop.thisN,one_back_outer_loop.thisIndex,one_back_loop.thisRepN,one_back_loop.thisTrialN,one_back_loop.thisN,one_back_loop.thisIndex,two_back_outer_loop.thisRepN,two_back_outer_loop.thisTrialN,two_back_outer_loop.thisN,two_back_outer_loop.thisIndex,two_back_loop.thisRepN,two_back_loop.thisTrialN,two_back_loop.thisN,two_back_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,zero_back_prompt_text.started,zero_back_prompt_text.stopped,zero_back_num_stim.started,zero_back_num_stim.stopped,zero_back_resp.keys,zero_back_resp.corr,zero_back_resp.started,zero_back_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,one_back_prompt_text.started,one_back_prompt_text.stopped,one_back_num_stim.started,one_back_num_stim.stopped,one_back_resp.keys,one_back_resp.corr,one_back_resp.started,one_back_resp.stopped,two_back_prompt_text.started,two_back_prompt_text.stopped,two_back_num_stim.started,two_back_num_stim.stopped,two_back_resp.keys,two_back_resp.corr,two_back_resp.started,two_back_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,['space'],2,0,2,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,184.85141849998035,None,None,0,184.85141849998035,None,185.3452035000082,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
2,None,2,0,2,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,187.85092040000018,None,None,1,187.85092040000018,None,188.35058820000268,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
1,None,2,0,2,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,190.85019500000635,None,None,1,190.85019500000635,None,191.3511836999969,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
0,None,2,0,2,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,193.84959209998487,None,None,1,193.84959209998487,None,194.34362359999795,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],2,0,2,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,196.84898499998963,None,None,0,196.84898499998963,None,197.34983789999387,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
6,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,205.34127069998067,None,199.84884059999604,None,204.85433599998942,None,None,1,204.85433599998942,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
3,None,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,208.354620099999,None,,,207.8468559999892,None,None,1,207.8468559999892,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
1,None,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,211.34727090000524,None,,,210.85322230000747,None,None,1,210.85322230000747,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
4,None,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,214.34664350000094,None,,,213.85260529999505,None,None,1,213.85260529999505,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
1,None,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,217.35289969999576,None,,,216.8520346999867,None,None,1,216.8520346999867,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,None,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,220.3453579999914,None,,,219.8514359999972,None,None,1,219.8514359999972,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
0,None,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,223.3517189999984,None,,,222.85087389999535,None,None,1,222.85087389999535,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
2,None,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,226.35697510000318,None,,,225.85027709999122,None,None,1,225.85027709999122,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
3,None,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,229.34352299998864,None,,,228.8497040999937,None,None,1,228.8497040999937,None,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
